song,label
"It's the time to be honest
I wouldn't harm a fly
Give me love and protection
And together we'll stand by
<EOST>
I'll be sure it's forever
Every sunset will be ours
Joyful sounds of your letters
There's no need to hide
<EOST>
Sometimes simple is the hardest
Sometimes seconds last for days
Give me love and protection
I'm fulfilled 'till the end
<EOST>
I'll be sure it's forever
Every sunset will be ours
Joyful sounds of your letters
There's no need to hid<EOST>e",0
"Chcę na maxa Cię zakręcić i pod sceną mieć tłok
Co dzień idę krok do góry żeby wyższy był skok
Świat mnie bardzo mocno zmęczył jak bajkowy smok
Robię sobie w głowie bombę i odpalam w niej lont
<EOST>
Jestem na Jutubie bo siebie lubię
Siebie lubię - lubię lubię to (4 x)
Lubię to 
Lubię to 
Lubię to 
<EOST>
Stoję zawsze w pierwszym rzędzie i mam parcie na szkło
Zdjęcie z małpą mam na fejsie, jestem więcej niż gość
Rozum atakuje serce, bardziej czuje niż wiem
Jutro będę prezydentem, dzisiaj robię co chcę
<EOST>
Jestem na Jutubie bo siebie lubię
Siebie lubię - lubię lubię to (4 x)
Jestem na Jutubie
Jestem na Jutubie
Jestem na Jutubie
<EOST>
Jestem na Jutubie bo siebie lubię
Siebie lubię - lubię lubię to (4 x<EOST>)",1
"Kwas i dreszcze już na samą myśl
Bo mam przeczucie, że to koniec
Przyszłaś na czas
Nie będzie gwiezdnych wojen
Dobrze wiem, co myślisz sobie
<EOST>
Znowu będzie miło, bo tak już masz
Dokończ, nie skończyłaś, no pij do dna
Ja się wstrzymam, jakoś mi cierpi krtań
Nie płacz po niej
<EOST>
Zawodzę jak miastowa młodzież
Hej, no może coś powiesz?
Czekaj, widzę prognozę
Przewidują zgodę
<EOST>
Marudzę jak miastowa młodzież
Nie, to nie ta odpowiedź
Dlaczego mi zmieniasz pogodę?
Pozostaje odejść
<EOST>
Fakt, że całkiem to przyjemne, gdy
Gniew odbiera mi kulturę
Od kilku dni tak bardzo denerwujesz
Przejdzie mi, ale zdążę jeszcze
<EOST>
Wcisnąć komu trzeba największy kit, że
Wstałem, nie chcę od niej kompletnie nic
Patrzę sobie na twój najnowszy klip
<EOST>
Zawodzę jak miastowa młodzież
Hej, no może coś powiesz?
Czekaj, widzę prognozę
Przewidują zgodę
<EOST>
Marudzę jak miastowa młodzież
Nie, to nie ta odpowiedź
Dlaczego mi zmieniasz pogodę?
Pozostaje odejść
<EOST>
Zawodzę jak miastowa młodzież
Hej, no może coś powiesz?
Czekaj, widzę prognozę
Przewidują zgodę
<EOST>
Marudzę jak miastowa młodzież
Nie, to nie ta odpowiedź
Dlaczego mi zmieniasz pogodę?
Pozostaje odejś<EOST>ć",0
"Shiny light are in my head now
Thought that I'd have happy everafter
With day were brighter
<EOST>
It's getting cold, why am I still here?
Got it all so I sing Hallelujah
Before it all turns into dust
<EOST>
Am I broken?
<EOST>
Womers, shiny people keep on dancing
Cause you like when your knife goes 
Through my chest, through my chest
You like it, like it
Through my chest, through my chest
You like it, like it
<EOST>
I will give a lot to keep him
While he is still here while I am sure that
I'll follow his heart into the dark
<EOST>
Am I broken?
<EOST>
Womers, shiny people keep on dancing
But you like when your knife goes
Through my chest, through my chest
You like it, like it
Through my chest, through my chest
You like it, like it
<EOST>
Womers, shiny peope, are you dancing?
Cause you like when your knife goes 
Through my chest, through my chest
You like it, like it
Through my chest, through my chest
You like it, like it
<EOST>
We not play the switches
Shiny people keep on dancing
Through my chest
You like it, like it
Through my chest
You like it, like it
<EOST>
Womers, shiny people keep on dancing
But you like when your knife goes
Through my chest, through my chest
You like it, like it
Through my chest, through my chest
You like it, like it
<EOST>
Womers, shiny peope, are you dancing?
Cause you like when your knife goes 
Through my chest, through my chest
You like it, like it
Through my chest, through my chest
You like it, like i<EOST>t",0
"You'll find the whispers in my eyes
You'll find the whispers in my eyes, tonight...
You'll find the whispers in my eyes
You'll find the whispers in my eyes, tonight...

Be brave
When you hear the sound of the night
Just be there
Can you have that faith in the cry of lights?

You'll find the whispers in my eyes
You'll find the whispers in my eyes, tonight...
You'll find the whispers in my eyes
You'll find the whispers in my eyes, tonight...

Someday
We will dance at your place
Just be there
When I lose my heel in this swing, again

We rotate around the sun
Gentle rays swirl with us
Have you ever been so blushed?
You're so blushed
You're so blushed

Nothingness, pushes us
I feel like you leaving
Faster than you can
I feel that I'm dreaming
But it's not a good dream
Something takes you away from me
But your eyes still see these whispers in my eyes

You'll find the whispers in my eyes
You'll find the whispers in my eyes
You'll find the whispers in my eyes, tonight...
You'll find the whispers in my eyes
You'll find the whispers in my eyes
You'll find the whispers in my eyes
You'll find the whispers, my own whispers in my eye<EOST>s",0
"Zmierzch nad jeziorem, słońce szalone
Chciało pod wodą spać
A potem wszystko było zmienione
Cały się kręcił świat
Wcale nie czekał czas
Rozsądek wywiał wiatr
I czułem, że płonę
I ciągle w tą stronę
Pchał mnie rozsądku brak

<RBEG>Ref.:
Dzikie chmary, komary i łodzie
To wszystko, co w pamięci mam
Mokry namiot i długie wieczory
I snu nocnego brak
Ciepły ogień co miga i płonie
Oświetlał także Twoją twarz
Po co słowa, wystarczą dwie dłonie
I Twoich oczu żar

Świt nad jeziorem, słońce nad wodę
Wystawia bladą twarz
Noc chyba minie, lecz to nie koniec
Dalej się kręci świat
Nie chcę, by dzielił nas
Wczorajszej nocy szał
Niech zawsze już płonie
W mej duszy ten ogień
Co wczoraj złączył nas

<RBEG>Ref.:
Dzikie chmary, komary i łodzie
To wszystko, co w pamięci mam
Mokry namiot i długie wieczory
I snu nocnego brak
Ciepły ogień co miga i płonie
Oświetlał także Twoją twarz
Po co słowa, wystarczą dwie dłonie
I Twoich oczu żar (3 <REND><REND>x<EOST>)",1
"Piękny letni wieczór wspaniale się czuję
Dzwoni do mnie Stasiu, coś się szykuje
Zajeżdża mercedes z pannami pod bramę
Panny malowane, kuso dość ubrane

O, o, o, balanga [x4]

Więc spoglądam w lustro, świetna aparycja
Biorę szybki oddech, wspaniała kondycja
Lakierki się świecą, skóra z krokodyla
Żeby coś poderwać wystarczy mi chwila

O, o, o, balanga [x4]

Coraz więcej ludzi na naszym terenie
A my szalejemy z Jadzią na basenie
Stasiu puszcza oko, bawi się wspaniale
Malowane lale zaczynają szaleć

O, o, o, balanga [x4]

I tak wieczór cały płynie doskonale
Wszyscy z naszej paczki bawią się wspaniale
Już nam nowy pomysł do głowy przypływa
Wypić beczkę piwa gdzieś na Karaibach

O, o, o, balanga [x12<EOST>]",1
"It's a little bit funny this feeling inside
I'm not one of those who can easily hide
I don't have much money but boy if I did
I'd buy a big house where we both could live

If I was a sculptor, but then again, no
Or a man who makes potions in a travelling show
I know it's not much but it's the best I can do
My gift is my song and this one's for you

And you can tell everybody this is your song
It may be quite simple but now that it's done
I hope you don't mind
I hope you don't mind that I put down in words
How wonderful life is while you're in the world
I hope you don't mind
I hope you don't mind that I put down in words
How wonderful life is while you're in the worl<EOST>d",0
"BOMBA-A-A-A-A-A
<EOST>
BOMBA-A-A-A-A-A
<EOST>
Ja jestem bomba, ja jestem bomba (bomba), ja jestem bomba
Ja jestem bomba, ja jestem bomba (bomba), ja jestem bomba
Ja jestem bomba, ja jestem bomba (bomba), ja jestem bomba
Ja jestem bomba, ja jestem bomba (bomba), ja jestem bomba
<EOST>
Hej, jesteście tutaj?
Nie słyszę was
Łapy w górę
Jazda, jazda, jazda, jaaaaazzzdddaaaa
<EOST>
Jazda, jazda
<EOST>
Bomba - a-a-a-a-a-a
Bomba - a-a-a-a-a-a
<EOST>
Booooomb<EOST>a",1
"[Zwrotka 1]
Szukam cię po shot-barach
Z dziewczynami wyglądacie jakbyście były na Oscarach
Ja i koledzy oświadczymy wam się od zaraz
Choć stanowimy pewnie jakąś bandę ciot dla was
Wiążesz włosy w cebulę
I pewnie świat Cię denerwuje jak Alutka Jędrulę
Pewnie Cię bolą oskrzela, a teraz dymem je czule
Opatuliłaś i zamawiasz sobie wódkę z Redbullem
Latacie po mieście jak Bójka, Bajka, Brawurka
Dźwigając swoje atrybuty: wóda, szampan, bibułka
Dzika jak pustynne kresy, stepy, tajga i dżungla
A twoje rzęsy wobec mężczyzn są jak łańcuch dla kundla
Szukasz zapalniczki, ja bym dał Ci ogień
I nękał wzrokiem jak proboszcz, który gwałci bogiem
No, mon dieu, wciąż kochasz mnie, ja w to nie wątpię
Chociaż w zeszły piątek przecież poszłaś za tamtym Piotrkiem?
<EOST>
[Refren]
Tragicznie zakochana...
Pocieszyłbym Cię ale muszę iść do domu, żeby chlać do rana
Nie chodzi o to, że się kochasz w jakichś innych panach
Ale w tej szui, która miastu znana?
Dramat /x2
<EOST>
[Zwrotka 2]
Lubisz muskulaturę
Gestykulujesz, jakbyś znów zdawała ustna maturę
Gdy ciebie widzę momentalnie zamiast mózgu mam dziurę
Chce z tobą chadzać po knajpach, zamawiać kus-kus na spółę
Potem w nocy się kochać i rano zamawiać pizzę
Bo jesteś fajna i dobra, tylko że w złym towarzystwie
Wolicie koksować w loftach. My raczej browar przy Wiśle
Może cię pojmam i koszmar Ci zrobię, żeby się przyśnić?
Okej, za daleko
Ale chyba się zatrułem znów nóżkami z galaretą
Jutro będzie masa ibupromów, potem kawa, mleko
Ale póki mogę się na nogi dzisiaj stawiam setą
Gorzka ruda chmura znowu kropi
Zastanawiam się co robisz i gdzie teraz stawiasz kroki
I dlaczego mi nie odpisujesz, kurwa, błagam odpisz!
Nagle jesteś, rzucam setką gdzie popadnie, bo nie zdążę jej dopić
No, i
<EOST>
[Refren]
Tragicznie zakochana...
Pocieszyłbym Cię ale muszę iść do domu, żeby chlać do rana
Nie chodzi o to, że się kochasz w jakichś innych panach
Ale w tej szui, która miastu znana?
Dramat /x2
<EOST>
[Zwrotka 3]
Wiosenny piątek. Jadę nocą na tym Veturilo
Nie powinienem, bo wypiłem to czerwone wino
Chciałbym powiedzieć teraz, że uciekam przed policją
Ale zapamiętaj: życie to nie Ale Kino
Smak naszego życia to wygazowane piwo
Nasze romanse ustępują wszystkim harlekinom
Zamiast czarnej limuzyny zbity pysk, duże czarne limo
Nie szukaj Scarlett, jak nie jesteś Rudolph Valentino
To jest Polska, tutaj stale zimno
Ten kabriolet chowaj, ziomki momentalnie gwizdną
Każdy tutaj gwiżdże do re mi fa so la si do
To melodyjny kraj. Muzykantów takich tutaj milion
Mam dwadzieścia parę lat, moje plany giną
Kręcę się po mieście z wiecznie zblazowaną miną
Mózg jak karabin, mógłbym zabić kogoś, zgładzić myślą
Ciągle w pogoni za tą straszną liczbą
Czyli sześć zer
Chciałbym kiedyś zrobić sześć zer
Sześć zer
Chciałbym kiedyś zrobić sześć zer
<EOST>
Sześć zer, chciałbym kiedyś zrobić sześć zer
Barman pyta mnie czy polać jeszcze. Bardzo proszę
Ktoś mnie pyta z kim tu jestem
Ktoś inny mnie pyta czy chcę w pysk. Mówię: ‘bardzo proszę’
Wyrastają guzy, niby Karkonosze
Jestem ateistą, ale niech mi dobry Pan pomoże
Zobaczyłem wszystko, chyba wrócę i się spać położę
Barman pyta czy chcę jeszcze. Bardzo proszę
Wyrastają guzy, niby Karkonosze
Jestem ateistą, ale niech mi dobry Pan pomoże..<EOST>.",0
